Name,sugars_100g,salt_100g,Bewertung
m&m's,53,0.11,Gut
Pringles,0.9,1,Gut
Microwave Popcorn,0.8,1.9,Schlecht
Oreo Cookies,38,0.73,Gut
Haribo Goldbears,46,0.07,Gut
Barebells Protein Bar White Chocolate,2.2,0.46,Schlecht
Zweifel Chips,0.9,1.2,Gut
Naturaplan Bio Shortbread,22,0.84,Schlecht
Chocolate Chip Cookies,35,1,Gut
Marshmallows,67.7,0.03,Gut
Kinder Schokolade Riegel,53.3,0.313,Gut
Yogurette Riegel,55.4,0.142,Schlecht
Smarties,59.8,0.13,Schlecht
Toffifee,48.8,0.27,Schlecht
Naturaplan whole grain oat flakes,1,0,Schlecht
Maiswaffeln Quinoa & Amaranth,0,0.41,Schlecht