Name,energy_kcal_100g,fat_100g,carbohydrates_100g,sugars_100g,salt_100g,fiber_100g,proteins_100g,Bewertung
m&m's,524,26,59,53,0.11,0,9.8,Gut
Pringles,530,31,55,0.9,1,3.5,6.1,Gut
Microwave Popcorn,421,19,48,0.8,1.9,10,9.6,Schlecht
Oreo Cookies,476,20,68,38,0.73,2.7,5.3,Gut
Haribo Goldbears,343,0.5,77,46,0.07,0,6.9,Gut
Barebells Protein Bar White Chocolate,364,15,29,2.2,0.46,7,36,Schlecht
Zweifel Chips,532,33,50,0.9,1.2,5.9,6,Gut
Naturaplan Bio Shortbread,509,26,60,22,0.84,2.3,7.6,Schlecht
Chocolate Chip Cookies,473,22,60,35,1,4.1,6.8,Gut
Marshmallows,335,0,79.6,67.7,0.03,0,4.1,Gut
Kinder Schokolade Riegel,566,35,53.5,53.3,0.313,0,8.7,Gut
Yogurette Riegel,571,35.6,56.8,55.4,0.142,0,4.8,Schlecht
Smarties,470,18.7,68.8,59.8,0.13,1.9,5.4,Schlecht
Toffifee,521,29,58.9,48.8,0.27,0,6,Schlecht
Naturaplan whole grain oat flakes,378,48,27,1,0,11,14,Schlecht
Maiswaffeln Quinoa & Amaranth,382,3.1,76,0,0.41,6.9,9.1,Schlecht