Name,energy-kcal_100g,fat_100g,carbohydrates_100g,sugars_100g,salt_100g,proteins_100g,Net weight,Price CHF
m&m's,524,26,59,53,0.11,9.8,550,7.1
Pringles,530,31,55,0.9,1,6.1,185,3.3
Microwave Popcorn,421,19,48,0.8,1.9,9.6,400,1.95
Oreo Cookies,476,20,68,38,0.73,5.3,176,3.8
Haribo Goldbears,343,0.5,77,46,0.07,6.9,350,2.4
Barebells Protein Bar White Chocolate,364,15,29,2.2,0.46,36,55,3.4
Zweifel Chips,532,33,50,0.9,1.2,6,90,2.5
Naturaplan Bio Shortbread,509,26,60,22,0.84,7.6,110,3.6
Chocolate Chip Cookies,473,22,60,35,1,6.8,225,1.5
Marshmallows,335,0,79.6,67.7,0.03,4.1,300,3.5
Kinder Schokolade Riegel,566,35,53.5,53.3,0.313,8.7,100,1.6
Yogurette Riegel,571,35.6,56.8,55.4,0.142,4.8,100,1.6
Smarties,470,18.7,68.8,59.8,0.13,5.4,204,4.2
Toffifee,521,29,58.9,48.8,0.27,6,125,2
Naturaplan whole grain oat flakes,378,48,27,1,0,14,150,4.95
Maiswaffeln Quinoa & Amaranth,382,3.1,76,0,0.41,9.1,130,2.5